review_id,author,recommendation,stars,confirmed,date,content,advantages,disadvantages
12518682,Anonimowy,Polecam,"4,5/5",Tak,2020-05-26 13:16:08,Muzycznie - przeciętne. Rozmowy telefoniczne - rewelacja. No i applowy emejzing w kontekście integracji z innymi sprzętami tego producenta.,"['jakość', 'łatwość z łączeniu', 'mała waga słuchawek i etui', 'można słuchać z dala od telefonu', 'wygląd', 'wygoda używania']",[]
11109884,Dorota,Polecam,5/5,Tak,2019-10-03 11:32:59,"Produkt Apple - te słowa mówią wszystko. Rewelacyjne wykonanie, imponująca jakość dźwięku, wygoda użytkowania, świetnie dopasowane do chyba każdych uszu (idealnie leżą w moich malutkich uszkach i trochę większych mojego Małżonka), intuicyjne np. same się wyłączają po wyjęciu z uszu i same się włączają i łączą z telefonem po włożeniu do uszu. Łączenie z urządzeniami apple - indukcyjne, automatycznie wyszukiwane są przez telefon, iPada czy maca. Możliwość słuchania muzyki czy oglądania filmu z jednego urządzenia na dwóch parach bezprzewodowych słuchawek apple airpods. Zamienniki tzw. 1:1 są takie same tylko z wyglądu - nie oferują tych wszystkich funkcjonalności co oryginał - mam jeden nieoryginalny komplet.",[],[]
15808149,m...9,Polecam,5/5,Tak,2022-03-11 02:47:32,Produkt jest super spełnia moje oczekiwania.,"['długa praca bez doładowywania', 'długotrwała bateria', 'dzwięk', 'etui z funkcją ładowania w 15min', 'jakość', 'jakość dźwięku', 'lekkość', 'łatwość z łączeniu', 'mała waga słuchawek i etui', 'można słuchać z dala od telefonu', 'wygląd', 'wygoda używania']",[]
18248019,o...9,Polecam,"4,5/5",Tak,2023-12-27 14:12:37,Bardzo dobre,"['długotrwała bateria', 'jakość dźwięku', 'wygląd', 'wygoda używania']",[]
13572622,l...6,Polecam,5/5,Tak,2020-12-14 13:52:39,Super,"['długotrwała bateria', 'jakość dźwięku', 'wygląd', 'wygoda używania']",[]
11088601,Konrad,Polecam,5/5,Tak,2019-09-27 12:09:17,"Mam AirPods 2 od 3 miesięcy i mogę stwierdzić, że jest to najlepszy gadżet jaki miałem. Używam ich w trakcie biegania i są ekstra. Dźwięk może nie jest turbo dobry, ale nie kupowałem ich z myślą o studyjnym słuchaniu muzyki. Do treningów i normalnego użytku jak najbardziej polecam. Cena sroga, ale ja jestem zadowolony.","['bateria mogłaby dłużej trzymać', 'jakość dźwięku', 'można słuchać z dala od telefonu', 'wygląd', 'wygoda używania']",[]
17285604,m...a,Polecam,5/5,Tak,2023-03-17 22:21:52,Zdziwiłem się pozytywnie. Myślałem ze te słuchawki nadają się tylko do chodzenia „spokojnego” ze za moment wypadną. Moje zaskoczenie jest mega pozytywne. Trzymają się w uchu wyjątkowo dobrze. Dźwięk bardzo mi odpowiada i co nawjwazniejsze rozmowy przez słuchawki… idealny dźwięk w dwie strony,[],[]
10510947,Piotr,Polecam,5/5,Tak,2019-05-12 14:09:46,"Słuchawki wykonane bardzo dobrze, jakość dźwięku nie jest bardzo duża, ale wygoda z użytkowania jeśli ma się dużo urządzeń od Apple jest niezrównana.","['wygląd', 'wygoda używania']",[]
10504375,Sławek,Polecam,"4,5/5",Tak,2019-05-10 15:02:48,"Kilka dni używania nie uprawniają mnie jeszcze do wystawienia rzetelnej opinii. Póki co słuchawki sprawują się dobrze i oby tak pozostało. Myślę, że warto się jednak zaopatrzyć w jakiś pasek łączący słuchawki i używać go np. w trakcie aktywności fizycznej, żeby nie zgubić którejś słuchawki.",[],[]
12503247,a...0,Nie polecam,"0,5/5",Tak,2020-05-23 13:02:10,"Ponieważ dostałem odpowiedź na poprzednią opinię, w której rzekomo według sklepu zapłaciłem za ""bardzo dobry odpowiednik"" 100 zł jest nieprawdą, gdyż mam rachunek wynoszący 500 zł oraz wszelkie dowody w postaci maili i zdjęć na to, że dokonano fałszerstwa. Firma potwierdza, że sprzedała podróbki (czy odpowiednik), o czym z resztą sama informuje, ale można to również udowodnić po nr seryjnych, gdyż na słuchawkach nie ma żadnych zarejestrowanych w systemie Apple, natomiast nr seryjny na pudełku można zidentyfikować w systemie. Jest to sprzedawanie ""odpowiednika"" w oryginalnym pudełku od firmy Apple dla utwierdzenia u kupującego, że kupił właśnie produkt tej firmy. Dostałem odpowiedź jedynie na jednego maila, w którym sprzedający twierdzi, że nigdy nie sprzedawał produktu Apple. Pomimo wysłania kolejnej wiadomości e-mail do sklepu z dowodami, nie dostałem żadnej odpowiedzi. Jednym z dowodów jest zdjęcie linku do słuchawek pod nazwą Apple, widać również logo sklepu gepard-mobilian.pl (nie mogę zamieścić ze względu na rozmiar zdjęcia), ale zamieszczę zrzut ekranu z mailem od ceneo o wystawieniu opinii o produkcie Apple Airpods 2. Dodatkowo jak czytający może zobaczyć w poprzedniej opinii firma się wypiera, ale łatwo jest to robić, gdy oferta została wycofana. Kupującym radzę trzymać się z dala, a jeśli dojdzie do zakupu, zachowywać wszelkie maile oraz dowody za zakup sfałszowanego produktu.",[],[]
Brak ID,Użytkownik Ceneo,Brak rekomendacji,Brak oceny,Nie,2019-12-20 08:28:51,Jaki jest czas pracy?,[],[]
Brak ID,buba,Brak rekomendacji,Brak oceny,Nie,2020-02-20 00:58:29,Jaki jest czas oczekiwania na produkt?,[],[]
Brak ID,Aga,Brak rekomendacji,Brak oceny,Nie,2023-04-04 14:42:42,"Czy to są oryginalne air pods  2nd generation , czytam opinie i piszą ze to dobry zamiennik nie wiem  jak to mam rozumieć ?",[],[]
Brak ID,Julia,Brak rekomendacji,Brak oceny,Nie,2020-01-02 20:14:39,"Witam, czy słuchawki te posiadają bezprzewodowe etui?",[],[]
Brak ID,Nikodem,Brak rekomendacji,Brak oceny,Nie,2019-12-24 21:50:31,,[],[]
Brak ID,Anonim,Brak rekomendacji,Brak oceny,Nie,2019-11-17 22:49:18,Czy airpods 2 to to samo co airpods 2019,[],[]
Brak ID,Użytkownik Ceneo,Brak rekomendacji,Brak oceny,Nie,2021-09-05 10:16:04,Można ładować przez obudowę,[],[]
Brak ID,Anna,Brak rekomendacji,Brak oceny,Nie,2019-11-04 20:44:51,"SłuchawkiWitam, czy wszystkie strony które są podane pod produktem są sprawdzone i jest 100% pewność ich prawdziwości? Nie chciałabym zamówić fejkowych słuchawek Np na stronie gepard-mobilian",[],[]
Brak ID,zosia,Brak rekomendacji,Brak oceny,Nie,2019-11-01 22:25:14,,[],[]
Brak ID,Tomek,Brak rekomendacji,Brak oceny,Nie,2019-10-12 20:28:38,,[],[]
